转债代码,低点日期,反弹日期,时长,击穿次数,最大收益
113016.SH,2021-07-19 14:00:00,2021-07-20 10:00:00,0 days 20:00:00,2,7.055624227441282
113016.SH,2021-07-26 13:30:00,2021-07-27 09:45:00,0 days 20:15:00,2,7.711111111111113
113016.SH,2021-08-18 10:00:00,2021-08-19 09:45:00,0 days 23:45:00,2,5.547518526172834
113016.SH,2021-08-25 14:00:00,2021-08-26 10:00:00,0 days 20:00:00,2,2.679770015957028
113016.SH,2021-09-29 11:00:00,2021-10-18 10:15:00,18 days 23:15:00,3,15.936921857105112
113016.SH,2021-10-19 14:00:00,2021-10-20 10:00:00,0 days 20:00:00,2,5.814321540746503
113016.SH,2021-10-28 11:30:00,2021-10-29 09:45:00,0 days 22:15:00,3,4.181308887191237
113016.SH,2021-11-03 10:15:00,2021-11-03 10:30:00,0 days 00:15:00,2,2.751598150440926
113016.SH,2021-11-16 14:45:00,2021-11-22 09:45:00,5 days 19:00:00,2,10.059140212692608
113016.SH,2021-11-29 09:45:00,2021-11-29 10:00:00,0 days 00:15:00,2,1.9422412039861614
113025.SH,2021-09-22 10:30:00,2021-09-23 09:45:00,0 days 23:15:00,2,8.21164646763226
113025.SH,2021-09-29 11:30:00,2021-09-30 09:45:00,0 days 22:15:00,5,14.417667893603724
113025.SH,2021-10-08 09:45:00,2021-10-08 09:45:00,0 days 00:00:00,2,6.379231820252018
113025.SH,2021-10-08 11:15:00,2021-10-08 15:00:00,0 days 03:45:00,2,3.3344856846538207
113025.SH,2021-10-11 09:45:00,2021-10-11 09:45:00,0 days 00:00:00,2,5.153374233128827
113025.SH,2021-10-12 14:45:00,2021-10-13 10:30:00,0 days 19:45:00,3,5.901240409639352
113025.SH,2021-10-19 14:00:00,2021-10-19 14:30:00,0 days 00:30:00,2,1.797852741248973
113025.SH,2021-10-28 10:45:00,2021-10-29 09:45:00,0 days 23:00:00,4,12.82051282051282
113025.SH,2021-11-08 09:45:00,2021-11-08 10:15:00,0 days 00:30:00,3,6.845930232558151
113025.SH,2021-11-16 09:45:00,2021-11-16 10:00:00,0 days 00:15:00,2,3.316723267845245
113025.SH,2021-11-19 10:30:00,2021-11-19 10:45:00,0 days 00:15:00,2,1.3555818972067923
113025.SH,2021-11-22 10:45:00,2021-11-22 10:45:00,0 days 00:00:00,2,5.01816530426884
113025.SH,2021-11-22 13:30:00,2021-11-22 14:00:00,0 days 00:30:00,2,1.4750748733451058
113025.SH,2021-11-24 09:45:00,2021-11-24 10:00:00,0 days 00:15:00,2,1.7671809256662119
113025.SH,2021-11-26 09:45:00,2021-11-26 10:00:00,0 days 00:15:00,2,2.9138694472218285
113025.SH,2021-11-30 14:15:00,2021-11-30 14:45:00,0 days 00:30:00,2,1.985549456704394
113026.SH,2021-09-27 11:30:00,2021-09-27 14:15:00,0 days 02:45:00,2,4.0393700787401565
113026.SH,2021-09-29 09:45:00,2021-09-29 10:00:00,0 days 00:15:00,2,4.527559055118102
113026.SH,2021-09-29 11:15:00,2021-09-29 11:30:00,0 days 00:15:00,2,2.1333333333333426
113026.SH,2021-09-30 11:00:00,2021-09-30 13:15:00,0 days 02:15:00,3,3.0726256983240274
113026.SH,2021-10-08 11:30:00,2021-10-08 13:45:00,0 days 02:15:00,3,2.0145495243424794
113026.SH,2021-10-11 10:00:00,2021-10-11 11:00:00,0 days 01:00:00,3,1.8775510204081636
113026.SH,2021-10-12 10:15:00,2021-10-12 10:30:00,0 days 00:15:00,2,1.6677620768978052
113026.SH,2021-10-12 11:15:00,2021-10-12 11:30:00,0 days 00:15:00,2,0.8842244442607949
113026.SH,2021-10-13 10:15:00,2021-10-13 10:30:00,0 days 00:15:00,2,1.3628620102214661
113026.SH,2021-10-15 10:00:00,2021-10-15 10:00:00,0 days 00:00:00,2,1.7089762734362024
113026.SH,2021-10-15 10:15:00,2021-10-15 10:15:00,0 days 00:00:00,2,0.7793715280656643
113026.SH,2021-10-29 10:00:00,2021-10-29 11:00:00,0 days 01:00:00,2,1.8466252721554666
